refcode,formula,z_prime,r_factor,n_atoms,spacegroup
DACXIO,C7 H13 N1 O3,2.0,4.5,24,P21/c
NOSSEW,C13 H14 N2 O6 S1,1.0,4.8500000000000005,36,P21/n
GOVLUA,"C14 H20 N4 2+,2(B1 F4 1-)",1.0,5.09,38,P21/n
MUKDII,"C12 H12 N3 1+,C1 F3 O3 S1 1-",0.5,6.94,27,Pnma
UPUZOV,C16 H15 N1 O4 S2,1.0,3.19,38,P21/n
BOYXEV,C18 H10 N2,1.0,6.2700000000000005,30,Pbca
QIJMOL,C20 H19 N3 O5,1.0,4.6000000000000005,47,P212121
PAVBEV,"C11 H23 N1 O5 P1 1+,I1 1-",1.0,1.6,41,P212121
YIFZAP,C6 H7 N1 O2 S1,1.0,7.390000000000001,17,Pc
XOSZIR,C24 H27 N1 O1,1.0,3.71,53,P21/c
AJEQEL,"C35 H22 Br2 Cl2 N2,2(C1 D1 Cl3)",1.0,4.9,63,P-1
LIPLAB,C17 H20 N2 O5,1.0,4.79,44,P21/c
COGCEI,C14 H15 N1 O4,2.0,3.29,34,P21
ODOVUZ,C25 H23 B1 N2 O4,1.0,4.11,55,P21
OYIGAG02,"C3 H2 N8 2-,2(C1 H6 N3 1+)",1.0,3.9600000000000004,13,Pca21
OWOBEL,C16 H23 N1 O2 Se1,1.0,2.77,43,P21/c
WAQLOQ,C12 H12 Cl1 N3 O5,1.0,3.2,33,P-1
UMEZAP,"C1 H7 N4 1+,y(C3 H1 N8 O2 1-)",1.0,3.2300000000000004,14,I2/a
MEPVOT,C23 H32 B1 N1 O3,1.0,5.12,60,Cc
KELSIH,C23 H21 N3 O1,2.0,4.9,48,P21/c
YALRAH,"C12 H24 O6,C6 H4 Cl1 F3 N2",1.0,3.44,42,P-1
OLAJAN,C18 H3 B1 F12,0.5,2.16,34,Aba2
UZUNUB,C12 H7 I2 N1 O2,1.0,5.92,24,Fdd2
QIFKAV,"C26 H18,C20 H12",0.5,5.79,44,P21/c
OHOCET,C17 H39 B1 F3 N1 Si2,1.0,3.71,63,P212121
PATFAR,"C14 H19 N3 O5,2(H2 O1)",1.0,4.1,41,P212121
TANXOY,C10 H14 N2 O1,1.0,5.26,27,Cc
QEGBEM,C20 H26 O3,1.0,2.77,49,P212121
HAVLID,C25 H20 N2 O2,1.0,3.73,49,P212121
ZAYGOY,C11 H16 N8 O20,1.0,3.1199999999999997,55,P21/n
PONYOH,"C22 H29 Cl2 N4 O2 1+,C2 F3 O2 1-",1.0,4.75,59,P-1
ROYYUD,C26 H24 N2 O3,1.0,6.97,55,P-1
SAGDOT,C18 H21 N3 O3,2.0,6.7,45,P-1
VAPZUH,C10 H9 Cl1 N2 O3,1.0,5.2,25,P21/c
JINXUZ,C7 H15 N5 O2 S1,1.0,6.3,30,P21/n
TEVJEN,C26 H26 O4,0.5,3.54,56,Pbca
SIQYIB,C22 H32 N8 O2,1.0,4.62,64,I2/a
CEDVIR,"C17 H11 N6 1+,I1 1-",1.0,5.58,34,Cc
IXITIW,C13 H19 N1 O1 S2,2.0,3.63,36,Pna21
RERGUQ,C14 H12 N2 O1 S1,1.0,4.7,30,P21/c
ZEYBIQ01,C12 H14 N4 Se2,0.5,2.71,32,P21/n
AKIREV,C25 H18 Cl1 N3 O2,1.0,4.75,49,P-1
KOWMIU,C26 H16 O1 S2,1.0,3.01,45,Pna21
HOWMOW,"C14 H22 N1 O1 1+,Br1 1-,C20 H14 O2",1.0,3.91,38,P212121
DIHWAS,C17 H17 Cl1 O2,1.0,4.5,37,P21/n
VAPWOZ,"C12 H28 N1 1+,Br1 1-,C1 Br4",1.0,4.59,41,P21/n
FEJLIT,C6 H12 B1 Cl4 N3 P2,0.5,2.16,28,C2/c
GAZGOG,C13 H11 F5 N2 O3,1.0,2.81,34,P21
UNUVOP,C20 H22 Cl2 N2 O6 S2,0.5,3.77,54,P21/c
HIMLIA,C12 H15 Cl1 N2 O2,1.0,5.33,32,C2/c
NAXDIZ,C14 H10 N2 O1,1.0,3.4,27,P21/c
XARZEZ,C22 H21 N1 O1,1.0,5.94,45,P21/n
REKYAI,C6 H5 I1,1.0,6.6000000000000005,12,Pbcn
TIFPAA,C20 H20 O8,1.0,4.23,48,P21/c
CIHQOD,"C20 H12,C13 H4 N4 O1",1.0,4.99,32,Pn
MAZLUX,C23 H27 N3 O5,2.0,4.41,58,P21
XANSIS,"C13 H10 N1 1+,C7 H4 Cl1 O3 1-",1.0,4.43,24,P21/n
NOJVEN,C19 H15 N1 S1,2.0,5.16,36,P21/n
DOBHEJ,C14 H9 Cl3 N2 O1 S1,2.0,3.6999999999999997,30,P21/n
RUNCIQ,C32 H23 N1 O1,1.0,6.260000000000001,57,P-1
KUBSAE,"C12 H22 N1 1+,C2 H1 O4 1-",1.0,4.4799999999999995,35,P21/c
BEFRUD,"2(C8 H12 N5 1+),H1 O3 P1 2-,2(H2 O1)",1.0,3.08,25,P21/n
EQAPOC,"C21 H13 Cl1 N2 O2,C1 H4 O1",1.0,5.23,39,Pbca
XEQZIC02,C12 H16 N2,1.0,5.48,30,Pna21
CELBEA02,C14 H17 N3 S1,1.0,3.84,35,P21/n
YUDRUN,"C14 H11 N1 O4,C14 H11 N1 O4",1.0,5.09,30,P21/n
UBOYET,C17 H11 F3 N2,1.0,4.16,33,P212121
SUCNOT02,C13 H20 N1 O3 P1 S1,1.0,5.94,39,C2/c
